english,runyankole
child,omwana
person,omuntu
people,abantu
water,amaizi
food,ebyokurya
house,enju
book,ekitabo
money,esente
friend,omunywani
home,omuka
sun,eizooba
milk,amate
cow,ente
road,omuhanda
name,eizina
go,kugyenda
come,kwija
eat,kurya
drink,kunywa
speak,kugamba
love,kukunda
see,kureeba
know,kumanya
work,kukora
want,kwenda
sleep,kugwejera
bring,kureeta
buy,kugura
sit,kushitama
good,murungi
bad,mubi
big,hango
small,kakye
beautiful,mushoga
long,muraingwa
short,nyimpimpa
hot,omushana
cold,embeho
today,eriizooba
tomorrow,nyencakare
yesterday,nyanywebazyo
now,hati
very,munonga
again,ogundiijo
always,obututosha
me,nyowe
this,eki
that,ekyo
my,wangye
your,wawe
how are you,agandi
i am fine,nimungi
thank you,webare
thank you very much,webare munonga
welcome,maribu
good morning,agandi
good afternoon,osiibire gye
good night,oraare gye
goodbye,ka mbeho
what is your name,eizina ryawe niiwe ogu
my name is,eizina ryangye nzoera
where are you going,noogyenda nkahi
i am going home,ninyenda eka
where do you live,notuura nkahi
how much is this,ezisente ni zingahi
i do not know,tinkumanya
i understand,naetegyereza
i do not understand,tinkwetegyereza
please help me,baasika ohwera
excuse me,kurebaho
sorry,kusinga
yes,eego
no,ngaaha
come here,wija aha
sit down,shitama ahansi
stand up,eemera
let us go,tugyende
i want food,ninyenda ebyokurya
i want water,ninyenda amaizi
i am tired,nkoire
i am sick,ndwaire
i am happy,nashemererwa
where is the bathroom,ekigo kishangansigwa nkahi
stop,rekyera
hurry up,rahuka
speak slowly,gamba mpora
call me,nteerera esimari
what time is it,shaaha ni zingahi
i love you,ninkukunda
who is this,ogu niiha
what is this,eki niki
where is it,kiri nkahi
congratulations,kusingiza
happy birthday,mazuukuru g'amazaaruhwa
bless you, ohebwe omugiisha
safe journey,orugyendo rurungi
it is raining,enjura neegwa
it is hot,omushana ni mwingi
i am hungry,enjura neenyita
i am thirsty,eiriho ryanyita
yours,ryawe
mother,maama
father,taata
baby,omwana
house,enju
so much,munonga
girlfriend,omurigirwa
sister,mukuruwange
brother,munyanyazi
lets go,tugyende
school,ishomero
to,aha
in,omu
market,katare
my,wangye
and,na
am,ndi
beautiful,murungi
is,ni
ugly,mubi
I am here,ndi aha
sunday,sande
monday,orwokubanza
tuesday,orwakabiri
wednesday,orwakashatu
thursday,orwakana
friday,orwakataano
saturday,orwamukaaga
here,hanu
there,hari
this side,kunuya
on,aha





